Date,Symbol,Close,mom,yoy
21-07-2022,LEAD         ,177.55,-0.035054348,0.001410039
30-11-2020,MENTHAOIL    ,949,,
31-12-2020,MENTHAOIL    ,1130.3,0.191043203,
29-01-2021,MENTHAOIL    ,1110.7,-0.017340529,
26-02-2021,MENTHAOIL    ,1088.2,-0.020257495,
31-03-2021,MENTHAOIL    ,1073.5,-0.013508546,
30-04-2021,MENTHAOIL    ,1072.1,-0.001304145,
31-05-2021,MENTHAOIL    ,912.4,-0.148959985,
30-06-2021,MENTHAOIL    ,1127.4,0.235642262,
30-07-2021,MENTHAOIL    ,1059.6,-0.060138371,
31-08-2021,MENTHAOIL    ,1038.1,-0.020290676,
30-09-2021,MENTHAOIL    ,1054.5,0.015798093,
29-10-2021,MENTHAOIL    ,1073.6,0.01811285,
30-11-2021,MENTHAOIL    ,1058.3,-0.014251118,0.115173867
31-12-2021,MENTHAOIL    ,1099.2,0.038646887,-0.027514819
31-01-2022,MENTHAOIL    ,1113.2,0.012736536,0.002250833
28-02-2022,MENTHAOIL    ,1100.1,-0.011767876,0.01093549
31-03-2022,MENTHAOIL    ,1184.4,0.076629397,0.10330694
29-04-2022,MENTHAOIL    ,1198.3,0.0117359,0.1177129
31-05-2022,MENTHAOIL    ,1190.3,-0.006676125,0.304581324
30-06-2022,MENTHAOIL    ,1132.8,-0.048307149,0.004789782
21-07-2022,MENTHAOIL    ,1001.3,-0.11608404,-0.055020763
30-11-2020,NATURALGAS   ,216.7,,
31-12-2020,NATURALGAS   ,182.1,-0.159667743,
29-01-2021,NATURALGAS   ,191.5,0.051619989,
26-02-2021,NATURALGAS   ,205.9,0.075195822,
31-03-2021,NATURALGAS   ,191.1,-0.071879553,
30-04-2021,NATURALGAS   ,218,0.140763998,
31-05-2021,NATURALGAS   ,221.8,0.017431193,
30-06-2021,NATURALGAS   ,272.2,0.22723174,
30-07-2021,NATURALGAS   ,290,0.065393093,
31-08-2021,NATURALGAS   ,318.3,0.097586207,
30-09-2021,NATURALGAS   ,428.8,0.34715677,
29-10-2021,NATURALGAS   ,409,-0.046175373,
30-11-2021,NATURALGAS   ,347,-0.151589242,0.601292109
31-12-2021,NATURALGAS   ,276.5,-0.203170029,0.518396485
31-01-2022,NATURALGAS   ,364.3,0.317540687,0.902349869
28-02-2022,NATURALGAS   ,336.7,-0.075761735,0.635259835
31-03-2022,NATURALGAS   ,436.4,0.296109296,1.283621141
29-04-2022,NATURALGAS   ,555.8,0.2736022,1.549541284
31-05-2022,NATURALGAS   ,649,0.167686218,1.926059513
30-06-2022,NATURALGAS   ,447.7,-0.310169492,0.64474651
21-07-2022,NATURALGAS   ,639.6,0.428635247,1.205517241
30-11-2020,NICKEL       ,1206.7,,
31-12-2020,NICKEL       ,1259.7,0.043921439,
29-01-2021,NICKEL       ,1303.5,0.034770183,
26-02-2021,NICKEL       ,1407.1,0.079478328,
31-03-2021,NICKEL       ,1205.7,-0.143131263,
30-04-2021,NICKEL       ,1310.4,0.086837522,
31-05-2021,NICKEL       ,1304.3,-0.004655067,
30-06-2021,NICKEL       ,1375.8,0.054818677,
